,Address,City,Beds,Baths,Area,Price
0,5901 Lindsey Road,Flagstaff AZ 86004,3 beds,2 baths,"4,018 sq. ft","$1,650,000"
1,3378 Kachina Trail,Flagstaff AZ 86005,3 beds,2 baths,"1,411 sq. ft","$620,000"
2,1707 N Deer Crossing Road,Flagstaff AZ 86004,4 beds,1 bath,"1,795 sq. ft","$675,000"
3,292 LONG VALLEY Road,Happy Jack AZ 86024,3 beds,2 baths,"1,248 sq. ft","$475,000"
4,2232 Gambel Oak Trail Trail,Flagstaff AZ 86001,3 beds,2 baths,"1,512 sq. ft","$360,000"
5,5491 Pine Ridge Drive,Happy Jack AZ 86024,1 bed,1 bath,,"$465,000"
6,4657 W Laskin Trail,Flagstaff AZ 86001,4 beds,2 baths,"2,101 sq. ft","$1,050,000"
7,1401 N 4th Street 151,Flagstaff AZ 86004,2 beds,2 baths,"1,122 sq. ft","$439,000"
8,1255 E Quail Dr,Munds Park AZ 86017,2 beds,2 baths,"1,474 sq. ft","$710,000"
9,1401 N 4th St 151,Flagstaff AZ 86004,2 beds,2 baths,"1,122 sq. ft","$439,000"
10,6585 N Haven Ln,Flagstaff AZ 86004,3 beds,2 baths,"1,449 sq. ft","$519,000"
11,850 Onieda,Flagstaff AZ 86004,2 beds,2 baths,"1,237 sq. ft","$499,000"
12,8810 Leah Lane,Flagstaff AZ 86004,3 beds,2 baths,"1,277 sq. ft","$575,000"
13,1265 Bobcat Drive,Munds Park AZ 86017,3 beds,2 baths,"1,846 sq. ft","$879,900"
14,310 W Forest Ave,Flagstaff AZ 86001,5 beds,,,"$949,000"
15,4540 Brackin Ranch Road,Flagstaff AZ 86001,,,,"$375,000"
16,12250 Solid Rock Drive,Bellemont AZ 86015,3 beds,2 baths,"1,600 sq. ft","$425,000"
17,1202 N Navajo Drive,Flagstaff AZ 86001,3 beds,2 baths,"2,973 sq. ft","$1,000,000"
18,695 Kiowa,Flagstaff AZ 86005,2 beds,2 baths,"1,117 sq. ft","$575,000"
19,111 Juniper Rdg,Flagstaff AZ 86001,,,,"$75,000"
20,1060 E RAINTREE Road,Munds Park AZ 86017,5 beds,3 baths,"2,768 sq. ft","$1,348,900"
21,4685 W Braided Rein,Flagstaff AZ 86005,3 beds,3 baths,"2,537 sq. ft","$1,295,000"
22,9198 Richfield Drive,Flagstaff AZ 86004,3 beds,2 baths,"2,628 sq. ft","$1,295,000"
23,809 N Lone Oak Way,Flagstaff AZ 86004,3 beds,3 baths,"3,160 sq. ft","$1,250,000"
24,8432 Slayton Ranch Road,Flagstaff AZ 86004,4 beds,4 baths,"3,580 sq. ft","$1,250,000"
25,603 S Fountaine Street,Flagstaff AZ 86001,6 beds,2 baths,"2,400 sq. ft","$1,200,000"
26,3623 W MODUS Lane,Flagstaff AZ 86001,3 beds,2 baths,"1,991 sq. ft","$1,150,000"
27,815 N Beaver Street,Flagstaff AZ 86001,5 beds,4 baths,"2,390 sq. ft","$1,100,000"
28,14240 Ventoso Court,Flagstaff AZ 86004,4 beds,2 baths,"3,556 sq. ft","$1,100,000"
29,1750 N Vista Drive,Flagstaff AZ 86001,4 beds,2 baths,"2,054 sq. ft","$1,095,000"
30,1140 E CACTUS WREN Circle,Munds Park AZ 86017,4 beds,3 baths,"2,732 sq. ft","$1,050,000"
31,8805 Richfield Drive,Flagstaff AZ 86004,4 beds,3 baths,"2,892 sq. ft","$1,019,350"
32,1202 N NAVAJO Drive,Flagstaff AZ 86001,3 beds,2 baths,"2,973 sq. ft","$1,000,000"
33,2366 S Polaris Way,Flagstaff AZ 86001,4 beds,3 baths,"2,882 sq. ft","$999,661"
34,3900 N Paradise Road,Flagstaff AZ 86004,7 beds,3 baths,"3,396 sq. ft","$987,500"
35,114 W Separation Canyon Trail,Flagstaff AZ 86005,4 beds,3 baths,"2,491 sq. ft","$985,000"
